#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-20T01:41:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-20T01:41:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/239/hip_main&-out.max=2000&-c.eq=J2000&-out=HIP,_RAJ2000,_DEJ2000,Vmag&Vmag=0..6.5	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
HIP	_RAJ2000	_DEJ2000	Vmag
 	deg	deg	mag
------	--------------	--------------	-----
    25	000.0795635338	-44.2905614654	 6.28
    34	000.0995847627	+26.9181082481	 6.43
    43	000.1287023299	+59.5596793560	 6.18
    50	000.1430850464	-53.0977126448	 6.49
    63	000.1818095066	+45.2533335847	 6.36
    88	000.2690934424	-48.8098755962	 5.71
   106	000.3302148739	+49.9815578121	 6.22
   107	000.3338302112	-50.3373733304	 5.53
   122	000.3987655417	-77.0657244661	 4.78
   124	000.4042312331	+61.2228008031	 5.58
   128	000.4144154784	+73.6118465973	 6.50
   137	000.4327060603	+42.3671439079	 6.25
   145	000.4560351217	-03.0275038232	 5.13
   154	000.4900789996	-06.0140721205	 4.37
   171	000.5423132141	+27.0822560340	 5.80
   183	000.5830027756	-29.7204140222	 5.04
   186	000.6006957793	+08.9568236104	 6.33
   194	000.6237594849	+08.4854630885	 5.70
   207	000.6503624068	+66.0989661808	 5.87
   238	000.7395338130	-20.0458821274	 6.25
   253	000.7827304540	-24.1451455119	 6.46
   274	000.8571361594	+63.6405198621	 6.24
   301	000.9349576155	-17.3359877144	 4.55
   302	000.9651623921	+66.7121829210	 6.31
   330	001.0569269456	+62.2876637007	 5.90
   343	001.0824751745	-16.5290361795	 5.78
   345	001.0846558496	-29.2688216989	 6.38
   355	001.1254937566	-10.5095233050	 4.99
   365	001.1524446817	+42.0925305390	 6.11
   377	001.1721174563	-71.4368914540	 5.59
   379	001.1749216281	+67.1664454561	 5.68
   394	001.2240005741	+34.6597968154	 6.09
   399	001.2333354267	+26.6487642880	 6.25
   410	001.2549552245	+27.6747838211	 6.47
   417	001.2659281589	-00.5030354918	 6.32
   418	001.2756246682	+61.3139701244	 5.80
   443	001.3339204803	-05.7076181993	 4.61
   476	001.4248387927	+13.3962664471	 5.55
   518	001.5658925487	+58.4367328458	 5.98
   522	001.5798976514	-49.0751911067	 5.70
   531	001.6105827123	+64.1961686143	 5.57
   544	001.6532665175	+29.0215017106	 6.07
   560	001.7086927520	-23.1075398847	 6.19
   602	001.8261111296	-17.3869896619	 6.20
   635	001.9338048608	-02.5486794774	 6.43
   636	001.9454163715	-22.5085597845	 5.93
   655	002.0145307029	-33.5293260537	 5.67
   664	002.0504006176	-02.4477107868	 6.18
   671	002.0730522215	-08.8241121079	 5.99
   677	002.0969107134	+29.0904319904	 2.07
   695	002.1368990184	+63.2040404144	 6.41
   696	002.1395703101	-17.5781550824	 6.11
   699	002.1705756993	+36.6271250923	 6.21
   716	002.2172355557	+25.4629848113	 6.24
   728	002.2506713889	+28.2475427903	 6.47
   729	002.2601029019	+18.2119631404	 5.57
   730	002.2599739747	-54.0019312182	 6.32
   746	002.2945211312	+59.1497795955	 2.28
   760	002.3340654954	+79.7145454358	 6.01
   761	002.3377859465	-27.9879281811	 5.42
   765	002.3526749453	-45.7474261752	 3.88
   798	002.4671558328	-62.2967943252	 6.34
   813	002.5091761696	+11.1458130661	 5.54
   814	002.5090652448	-82.2240469889	 5.29
   840	002.5786240588	-05.2485876404	 5.84
   841	002.5801909808	+46.0722716804	 5.01
   873	002.6784777720	-12.5798967056	 5.84
   910	002.8160718061	-15.4679774428	 4.89
   930	002.8934169668	-27.7997366618	 5.41
   950	002.9333692783	-35.1331195833	 5.24
   967	002.9961878983	+48.1523964633	 6.18
   983	003.0416082510	-17.9382776704	 5.29
  1009	003.1423542522	+44.7071951223	 6.50
  1067	003.3089701168	+15.1835959022	 2.83
  1074	003.3317577588	-84.9939783883	 5.78
  1076	003.3496788116	+26.9875454665	 6.24
  1086	003.3785015669	+41.0353696364	 5.71
  1096	003.4260201618	-26.0223453476	 5.94
  1099	003.4349060982	-26.2849589918	 6.14
  1123	003.5095046622	+33.2060391885	 6.22
  1158	003.6151175260	-07.7805321039	 5.13
  1168	003.6506852758	+20.2067017693	 4.79
  1170	003.6600665162	-18.9328656064	 4.44
  1191	003.7271447743	-09.5695710682	 5.77
  1193	003.7329126207	+22.2842251138	 6.25
  1195	003.7427588613	-34.9042228822	 6.17
  1196	003.7451639338	+08.8209621333	 6.02
  1208	003.7789598824	+31.5357246579	 6.34
  1215	003.7940177943	+27.2834397924	 6.35
  1269	003.9785267384	+61.0001723738	 6.43
  1268	003.9787237356	-75.9116152976	 6.49
  1288	004.0369426105	-31.4463941019	 5.66
  1296	004.0580656291	+76.9507550623	 6.35
  1302	004.0897051689	+43.5950492120	 6.12
  1319	004.1418364900	+08.2401542651	 6.12
  1331	004.1764301735	-20.2100608587	 6.50
  1354	004.2376811745	+61.5331855603	 5.74
  1366	004.2729094699	+38.6816356430	 4.61
  1372	004.2876821563	+47.9474053007	 5.86
  1402	004.3862626551	-19.0510915861	 6.46
  1415	004.4294238145	+51.4330902825	 6.11
  1421	004.4487411423	+01.6887270896	 6.19
  1465	004.5718574021	+11.2062138461	 6.07
  1473	004.5819037032	+36.7852240498	 4.51
  1493	004.6594062132	+31.5172268070	 5.88
  1499	004.6744486160	-08.0530014248	 6.47
  1501	004.6757036057	+43.7911411989	 6.10
  1502	004.6773423065	-43.2355706457	 6.33
  1562	004.8569773046	-08.8239214522	 3.56
  1575	004.9231656631	+40.7294606894	 6.35
  1599	005.0177505173	-64.8747904073	 4.23
  1630	005.1016765099	+30.9356135844	 5.89
  1639	005.1288705958	+48.9686328432	 6.46
  1645	005.1494232998	+08.1902713390	 5.38
  1647	005.1626505860	-69.6249130956	 5.50
  1657	005.1896591855	+32.9111865057	 5.79
  1686	005.2802876564	+37.9686031683	 5.16
  1706	005.3699204843	-77.4268726427	 5.96
  1708	005.3799924910	-28.9814688261	 5.18
  1728	005.4428071650	-20.0580235681	 5.61
  1772	005.6061815141	+13.4824884329	 6.25
  1803	005.7157844624	-12.2094381312	 6.39
  1821	005.7683249430	-15.9425562788	 6.43
  1921	006.0652385400	+52.0199139755	 5.58
  1939	006.1235380686	-02.2190645042	 6.08
  1948	006.1589793923	+14.3155141606	 6.48
  1960	006.1979394625	+61.8310575151	 5.38
  1982	006.2767113118	+53.0467857391	 5.72
  2006	006.3508682402	+01.9396924101	 5.77
  2021	006.4378001696	-77.2542455873	 2.82
  2072	006.5508408939	-43.6798295343	 3.93
  2081	006.5710457122	-42.3059815091	 2.40
  2086	006.5906344221	-18.6936324968	 6.24
  2100	006.6558912796	-00.0495326885	 6.16
  2159	006.8112853415	-25.5471703403	 5.99
  2178	006.8794564788	+16.0254829838	 6.44
  2210	006.9820767020	-33.0071670757	 4.86
  2213	006.9936081355	+19.5140388685	 6.40
  2219	007.0121458309	+17.8931247876	 5.01
  2224	007.0529330237	+16.4450655168	 6.05
  2225	007.0568907316	+44.3944519892	 5.18
  2235	007.0835483151	+10.1898476569	 6.05
  2237	007.0879005465	-20.3350505690	 6.44
  2240	007.1105039052	-39.9150023570	 5.42
  2256	007.1796968697	-50.5328592933	 6.26
  2270	007.2360912659	+36.8996943417	 6.28
  2337	007.4662388728	-14.8641091200	 6.15
  2353	007.5098245271	-03.9573318874	 5.72
  2355	007.5306876098	+29.7515566908	 5.20
  2377	007.5830527181	+59.9775544236	 5.94
  2381	007.5943918751	-23.7876803351	 5.17
